LMT Date,LMT Time,Latitude,Longitude,Elevation
2013/01/02,15:01:14,-34.2009974,18.8484644,755.3
2013/01/02,18:01:01,-34.2046806,18.8484526,632.67
2013/01/02,21:00:43,-34.2090384,18.8421574,467.59
2013/01/03,0:01:17,-34.2097380,18.8412653,467.26
2013/01/03,3:00:43,-34.2092215,18.8433617,428.82
2013/01/03,6:01:35,-34.2074552,18.8375838,400.42
2013/01/03,9:00:43,-34.2125315,18.8376476,151.97
2013/01/03,12:00:43,-34.2155978,18.8393732,336.43
2013/01/03,18:01:02,-34.2159247,18.8400540,393.36
2013/01/03,21:00:43,-34.2084550,18.8412145,521.88
2013/01/04,0:00:37,-34.2077213,18.8405647,540.22
2013/01/04,3:01:08,-34.2077893,18.8405780,552.25
2013/01/04,6:01:07,-34.2028011,18.8370075,645.91
2013/01/04,9:00:55,-34.2026044,18.8374507,621.1
2013/01/04,18:00:43,-34.1998039,18.8378152,560.51
2013/01/04,21:00:44,-34.1998172,18.8378255,561.9
2013/01/05,0:00:43,-34.1998302,18.8378054,554.45
2013/01/05,3:00:44,-34.1999120,18.8378675,555.32
2013/01/05,6:00:43,-34.1988423,18.8369129,543.13
2013/01/05,9:01:08,-34.1958585,18.8308622,298.98
2013/01/05,21:01:31,-34.1930736,18.8312884,298.15
2013/01/06,0:00:43,-34.1920141,18.8305624,197.1
2013/01/06,3:00:43,-34.1849195,18.8289552,412.46
2013/01/06,6:00:43,-34.1872948,18.8294502,407.17
2013/01/06,9:02:24,-34.1950076,18.8300457,400.53
2013/01/06,15:00:58,-34.1921960,18.8305958,226.12
2013/01/06,18:03:01,-34.1922176,18.8302399,156.75
2013/01/06,21:01:51,-34.1928590,18.8309819,78.73
2013/01/07,0:00:43,-34.1932808,18.8388887,291.01
2013/01/07,3:01:00,-34.1963047,18.8397838,361.36
2013/01/07,6:01:17,-34.2042986,18.8430644,360.58
2013/01/07,9:01:02,-34.2192537,18.8549173,572.3
2013/01/07,12:01:11,-34.2238260,18.8608374,598.23
2013/01/07,15:00:18,-34.2228856,18.8612524,582.69
2013/01/07,18:01:13,-34.2277151,18.8731747,739.16
2013/01/07,21:00:43,-34.2160799,18.8857205,702.37
2013/01/08,0:01:01,-34.2143906,18.8931163,702.32
2013/01/08,3:00:43,-34.2170182,18.8934697,1091.69
2013/01/08,6:00:43,-34.2200933,18.8975518,1148.39
2013/01/08,9:01:14,-34.2116666,18.8979324,848
2013/01/08,12:01:32,-34.2096748,18.8968554,787.06
2013/01/08,15:00:32,-34.2006157,18.8923255,787.38
2013/01/08,18:01:12,-34.1959083,18.9028331,628.92
2013/01/08,21:01:07,-34.1881822,18.8930563,422.42
2013/01/09,0:00:43,-34.1966121,18.8592441,419.72
2013/01/09,3:00:44,-34.1966731,18.8593303,418.65
2013/01/09,6:00:43,-34.1931927,18.8505527,499.35
2013/01/09,9:00:44,-34.1853309,18.8400417,498.33
2013/01/09,12:00:43,-34.1921528,18.8395136,252.75
2013/01/09,15:00:28,-34.1932143,18.8386052,266.27
2013/01/09,18:01:12,-34.1930337,18.8386506,293.99
2013/01/09,21:02:32,-34.1921248,18.8357337,294.7
2013/01/10,3:00:43,-34.1900905,18.8329968,294.1
2013/01/10,6:00:43,-34.1879029,18.8262408,430.66
2013/01/10,9:01:44,-34.1894869,18.8281168,333.93
2013/01/10,15:00:44,-34.1849940,18.8324579,355.78
2013/01/10,18:02:30,-34.1860470,18.8226328,335.1
