LMT Date,LMT Time,Latitude,Longitude,Elevation
2012/9/29,15:00:43,-33.8534278,19.1076544,848.19
2012/9/29,18:00:43,-33.8600915,19.0726017,514.57
2012/9/29,21:01:10,-33.8662590,19.0611949,345.7
2012/9/30,0:00:36,-33.8661981,19.0613953,353.98
2012/9/30,3:00:43,-33.8658107,19.0598148,410.82
2012/9/30,9:01:02,-33.8658344,19.0602449,417.67
2012/9/30,12:00:45,-33.8657765,19.0602566,398.53
2012/9/30,15:01:04,-33.8661871,19.0608974,377.31
2012/9/30,18:00:43,-33.8617725,19.0586264,416.13
2012/9/30,21:00:20,-33.8512719,19.0481082,269.45
2012/10/1,0:00:43,-33.8464450,19.0398272,358.62
2012/10/1,3:01:28,-33.8321715,19.0143712,285.15
2012/10/1,6:00:43,-33.8208915,19.0139076,490.74
2012/10/1,9:00:44,-33.8063069,19.0174606,485.67
2012/10/1,12:01:13,-33.7953761,19.0103291,439.97
2012/10/1,15:00:44,-33.7912454,19.0082167,498.93
2012/10/1,18:00:43,-33.7882254,19.0067360,528.43
2012/10/1,21:00:38,-33.7729914,19.0187854,405.35
2012/10/2,0:00:43,-33.7744797,19.0303431,496.68
2012/10/2,3:00:32,-33.7798921,19.0337331,496.61
2012/10/2,6:00:43,-33.7812878,19.0341445,655.45
2012/10/2,9:00:37,-33.7903421,19.0413404,725.97
2012/10/2,12:00:43,-33.7948048,19.0535084,466.34
2012/10/2,15:00:43,-33.7999631,19.0669771,355.79
2012/10/2,18:01:24,-33.8132618,19.0921413,356.25
2012/10/2,21:00:44,-33.8271080,19.1168955,408.34
2012/10/3,0:00:48,-33.8405691,19.1323395,440.06
2012/10/3,3:00:47,-33.8407305,19.1325359,436.72
2012/10/3,6:01:29,-33.8407639,19.1324813,438.37
2012/10/3,9:00:52,-33.8413014,19.1324717,441.02
2012/10/3,12:00:43,-33.8417396,19.1318543,433.17
2012/10/3,15:00:43,-33.8419977,19.1376763,514.37
2012/10/3,18:00:43,-33.8466566,19.1306795,386.47
2012/10/3,21:00:44,-33.8327830,19.1129031,338.41
2012/10/4,0:00:43,-33.8323386,19.1199775,376.04
2012/10/4,3:00:37,-33.8323253,19.1199673,374.66
2012/10/4,12:00:43,-33.8322526,19.1201067,375.91
2012/10/4,15:00:43,-33.8322595,19.1200832,372.97
2012/10/4,18:02:22,-33.8323684,19.1199713,372.92
2012/10/5,0:00:43,-33.8323231,19.1199944,376.82
2012/10/5,3:00:44,-33.8323534,19.1199713,371.8
2012/10/5,6:02:10,-33.8250228,19.1328993,507.42
2012/10/5,9:00:43,-33.8250472,19.1329064,506.96
2012/10/5,12:01:20,-33.8172218,19.1416927,507.25
2012/10/5,15:01:02,-33.8173306,19.1407266,726.41
2012/10/5,21:01:14,-33.8122143,19.1525888,1257.54
2012/10/6,0:01:02,-33.8162118,19.1603979,1594.49
2012/10/6,3:01:04,-33.8274160,19.1656566,1595.02
2012/10/6,6:00:43,-33.8394607,19.1783853,1647.04
2012/10/6,9:03:02,-33.8605355,19.1889070,1647.25
2012/10/6,12:01:11,-33.8608269,19.1906555,1647.52
2012/10/6,15:00:43,-33.8644144,19.1847778,961.07
2012/10/6,21:00:43,-33.8741390,19.1472332,1185.77
2012/10/7,0:00:39,-33.8678336,19.1423440,611.22
2012/10/7,3:00:43,-33.8677744,19.1423738,615.62
2012/10/7,6:02:07,-33.8677980,19.1423805,618.9
2012/10/7,9:00:47,-33.8562696,19.1418183,455.45
2012/10/7,12:00:43,-33.8539059,19.1427966,424.47
2012/10/7,15:00:45,-33.8566448,19.1470669,454.44
2012/10/8,0:00:43,-33.8572525,19.1458570,440.11
2012/10/8,3:00:37,-33.8572481,19.1458708,439.04
2012/10/8,6:01:02,-33.8572737,19.1458441,434.81
2012/10/8,9:00:44,-33.8572246,19.1457785,437.54
2012/10/8,12:01:02,-33.8572516,19.1458162,438.46
2012/10/8,15:01:02,-33.8572276,19.1457408,438.85
2012/10/8,18:00:43,-33.8572703,19.1457275,438.96
2012/10/8,21:00:44,-33.8573698,19.1456196,433.27
