LMT Date,LMT Time,Latitude,Longitude,Elevation
2012/9/17,21:00:13,-34.0508491,18.9337600,256.81
2012/9/18,0:01:08,-34.0484930,18.9308424,250.65
2012/9/18,12:01:06,-34.0397456,18.9315723,250.69
2012/9/18,15:01:31,-34.0400185,18.9320877,248.75
2012/9/18,18:01:14,-34.0397761,18.9328431,249.25
2012/9/18,21:01:02,-34.0397161,18.9325173,250.16
2012/9/19,0:01:23,-34.0418178,18.9315262,249.84
2012/9/19,3:01:14,-34.0419784,18.9338522,253.83
2012/9/19,6:01:52,-34.0410053,18.9343121,254.63
2012/9/19,9:01:33,-34.0409927,18.9350520,251.35
2012/9/19,15:01:19,-34.0408849,18.9352525,263.69
2012/9/19,18:00:43,-34.0406671,18.9362271,265.5
2012/9/19,21:00:35,-34.0416683,18.9377743,261.89
2012/9/20,0:00:43,-34.0425259,18.9398717,306.84
2012/9/20,3:01:12,-34.0408543,18.9460128,343.73
2012/9/20,6:02:22,-34.0403100,18.9494819,343.8
2012/9/20,9:00:43,-34.0400612,18.9499696,393.58
2012/9/20,12:00:43,-34.0400611,18.9500038,393.6
2012/9/20,15:00:37,-34.0400243,18.9499932,394.27
2012/9/20,18:00:43,-34.0401179,18.9497951,394.98
2012/9/21,0:01:20,-34.0272958,18.9569800,394.49
2012/9/21,15:00:43,-34.0279018,18.9584413,448.61
2012/9/21,18:00:43,-34.0279011,18.9584518,445.14
2012/9/21,21:00:42,-34.0224914,18.9326376,404.69
2012/9/22,0:01:44,-34.0354725,18.9272418,266.39
2012/9/22,6:02:02,-34.0368708,18.9274865,261.86
2012/9/22,9:00:43,-34.0358530,18.9275587,270.01
2012/9/22,12:00:43,-34.0356419,18.9266561,279.66
2012/9/22,15:00:44,-34.0356317,18.9265332,274.2
2012/9/22,18:00:43,-34.0349794,18.9266418,283.06
2012/9/22,21:01:08,-34.0274731,18.9315712,313.53
2012/9/23,3:01:18,-34.0280197,18.9313895,313.09
2012/9/23,6:02:21,-34.0279970,18.9314645,316.8
2012/9/23,9:01:32,-34.0280350,18.9314475,317.72
2012/9/23,12:00:43,-34.0282734,18.9308775,312.51
2012/9/23,15:00:43,-34.0282579,18.9309073,323.98
2012/9/23,18:01:14,-34.0280853,18.9314062,323.74
2012/9/23,21:01:09,-34.0280407,18.9314449,307.84
2012/9/24,3:02:32,-34.0251135,18.9324474,316.99
2012/9/24,6:02:30,-34.0251549,18.9323415,317.32
2012/9/24,9:01:08,-34.0253260,18.9323798,321.39
2012/9/24,12:01:08,-34.0254665,18.9323152,326.89
2012/9/24,15:00:45,-34.0252879,18.9324846,336.58
2012/9/24,18:00:39,-34.0253255,18.9323626,323.25
2012/9/24,21:00:44,-34.0253385,18.9323149,321.12
2012/9/25,0:01:09,-34.0252752,18.9323567,306.5
2012/9/25,3:01:01,-34.0253512,18.9323357,319.04
2012/9/25,6:02:03,-34.0252791,18.9323728,320.16
2012/9/25,9:00:44,-34.0254672,18.9323111,335.72
2012/9/25,12:01:01,-34.0254375,18.9322362,328.08
2012/9/25,15:01:02,-34.0254158,18.9323049,322.71
2012/9/25,18:01:44,-34.0253558,18.9323734,318.28
2012/9/25,21:00:31,-34.0253613,18.9323257,315.59
2012/9/26,0:01:56,-34.0253597,18.9323424,321.21
2012/9/26,3:01:41,-34.0253768,18.9323152,320.18
2012/9/26,6:01:33,-34.0253035,18.9323798,319.71
2012/9/26,9:00:46,-34.0253512,18.9323421,324.39
2012/9/26,12:01:34,-34.0253674,18.9323146,327.1
2012/9/26,15:01:49,-34.0253617,18.9323901,324.46
2012/9/26,18:02:26,-34.0253469,18.9323558,323.32
2012/9/26,21:00:44,-34.0256768,18.9322213,317.37
2012/9/27,0:01:07,-34.0256298,18.9322549,321.51
2012/9/27,6:02:20,-34.0277684,18.9314931,327.56
2012/9/27,9:01:02,-34.0280430,18.9314241,311.05
2012/9/27,12:01:02,-34.0282542,18.9309041,321.02
2012/9/27,21:01:08,-34.0280322,18.9314446,311.03
2012/9/28,12:00:45,-34.0154861,18.9045245,447.76
2012/9/28,15:00:43,-34.0156417,18.9052609,454.36
2012/9/28,18:01:24,-34.0131862,18.9086568,457.55
2012/9/28,21:01:02,-34.0137584,18.9000713,356.34
2012/9/29,0:00:54,-34.0136817,18.8994753,354.64
2012/9/29,3:01:33,-34.0114329,18.9018747,425.77
2012/9/29,6:00:43,-34.0128406,18.9079238,528.66
2012/9/29,9:00:39,-34.0123882,18.9087066,556.56
2012/9/29,12:01:58,-34.0124102,18.9085352,561.87
2012/9/29,15:01:25,-34.0123681,18.9086516,558.06
2012/9/29,18:01:04,-34.0122710,18.9085853,568.66
2012/9/29,21:01:14,-34.0124219,18.9086692,556.38
2012/9/30,0:00:43,-34.0123647,18.9086999,553.27
2012/9/30,3:01:08,-34.0123493,18.9087298,564.73
2012/9/30,6:01:08,-34.0123690,18.9086861,554.34
2012/9/30,9:00:56,-34.0123046,18.9085349,557.77
2012/9/30,12:01:40,-34.0120816,18.9085288,576.56
2012/9/30,15:00:43,-34.0123205,18.9086958,558.73
2012/9/30,18:00:43,-34.0124136,18.9087139,552.37
2012/10/1,9:00:55,-34.0127716,18.9085038,550.74
2012/10/1,12:00:43,-34.0128516,18.9084367,537.59
2012/10/1,15:00:43,-34.0127117,18.9086580,544.49
2012/10/2,0:01:44,-34.0112541,18.9087115,544.54
2012/10/2,3:01:02,-34.0116298,18.9084636,545.35
2012/10/2,6:01:16,-34.0115680,18.9084374,571.6
2012/10/2,9:02:22,-34.0101979,18.9084218,678.85
