LMT Date,LMT Time,Latitude,Longitude,Elevation,,,
2013/4/22,12:00:00,-34.2964317,18.9939433,323,,,
2013/4/22,15:00:00,-34.2964383,18.9939783,312,,,
2013/4/22,18:00:00,-34.2689683,19.0006433,120,,,
2013/4/22,21:00:00,-34.2389683,19.0064250,186,,,
2013/4/23,00:00:00,-34.2292150,19.0049417,229,,,
2013/4/23,03:00:00,-34.2241317,18.9967217,237,,,
2013/4/23,06:00:00,-34.2256100,18.9557217,290,,,
2013/4/23,12:00:00,-34.2268567,18.9316233,,,,
2013/4/23,15:00:00,-34.2261200,18.9291600,634,,,
2013/4/23,18:00:00,-34.2212633,18.9108617,981,,,
2013/4/23,21:00:00,-34.1988100,18.8783200,524,,,
2013/4/24,00:00:00,-34.1765733,18.8987583,347,,,
2013/4/24,03:00:00,-34.1655583,18.9000417,381,,,
2013/4/24,06:00:00,-34.1617083,18.8949433,486,,,
2013/4/24,09:00:00,-34.1545483,18.9041300,253,,,
2013/4/24,12:00:00,-34.1474500,18.9062833,119,,,
2013/4/24,15:00:00,-34.1482633,18.9099483,,,,
2013/4/24,18:00:00,-34.1452317,18.9188900,178,,,
2013/4/24,21:00:00,-34.1385283,18.9148850,117,,,
2013/4/25,00:00:00,-34.1375300,18.9111500,121,,,
2013/4/25,03:00:00,-34.1393433,18.9156883,126,,,
2013/4/25,06:00:00,-34.1425000,18.9211700,196,,,
2013/4/25,09:00:00,-34.1425967,18.9211250,208,,,
2013/4/25,12:00:00,-34.1399083,18.9280617,305,,,
2013/4/25,15:00:00,-34.1396117,18.9301333,377,,,
2013/4/25,18:00:00,-34.1402667,18.9289517,316,,,
2013/4/25,21:00:00,-34.1403767,18.9290500,340,,,
2013/4/26,00:00:00,-34.1406000,18.9272367,271,,,
2013/4/26,03:00:00,-34.1403283,18.9290400,336,,,
2013/4/26,06:00:00,-34.1403567,18.9291350,332,,,
2013/4/26,09:00:00,-34.1404517,18.9291217,350,,,
2013/4/26,12:00:00,-34.1402667,18.9290767,334,,,
2013/4/26,15:00:00,-34.1403333,18.9290417,339,,,
2013/4/26,18:00:00,-34.1403667,18.9291950,331,,,
2013/4/26,21:00:00,-34.1403583,18.9288233,331,,,
2013/4/27,00:00:00,-34.1404617,18.9291567,338,,,
2013/4/27,03:00:00,-34.1403717,18.9290567,332,,,
2013/4/27,06:00:00,-34.1249100,18.9554600,570,,,
2013/4/27,09:00:00,-34.1024233,18.9635583,818,,,
2013/4/27,12:00:00,-34.0947683,18.9623183,713,,,
2013/4/27,15:00:00,-34.0935183,18.9612933,641,,,
2013/4/27,18:00:00,-34.0814983,18.9641233,686,,,
2013/4/27,21:00:00,-34.0812083,18.9507750,440,,,
2013/4/28,00:00:00,-34.0812717,18.9518633,468,,,
2013/4/28,03:00:00,-34.0876200,18.9438917,324,,,
2013/4/28,06:00:00,-34.1055950,18.9465250,339,,,
2013/4/28,09:00:00,-34.1105783,18.9403883,222,,,
2013/4/28,12:00:00,-34.1109233,18.9406167,,,,
2013/4/28,15:00:00,-34.1116333,18.9402750,,,,
2013/4/28,21:00:00,-34.1110267,18.9404917,246,,,
2013/4/29,03:00:00,-34.1104317,18.9409600,,,,
2013/4/29,06:00:00,-34.1108867,18.9405317,227,,,
2013/4/29,09:00:00,-34.1109300,18.9405117,250,,,
2013/4/29,12:00:00,-34.1112433,18.9405683,249,,,
2013/4/29,18:00:00,-34.1115017,18.9409717,235,,,
2013/4/29,21:00:00,-34.1326417,18.9417150,413,,,
