LMT Date,LMT Time,Latitude,Longitude,Elevation
2012/9/30,21:00:00,-33.8262300,19.4292217,185
2012/10/1,00:00:00,-33.8405367,19.4426200,279
2012/10/1,03:00:00,-33.8506833,19.4477450,388
2012/10/1,06:00:00,-33.8530083,19.4451450,474
2012/10/1,09:00:00,-33.8527250,19.4458000,433
2012/10/1,12:00:00,-33.8518200,19.4469433,376
2012/10/1,15:00:00,-33.8518883,19.4467917,355
2012/10/1,18:00:00,-33.8519017,19.4468817,339
2012/10/1,21:00:00,-33.8518267,19.4469550,354
2012/10/2,00:00:00,-33.8518383,19.4469733,361
2012/10/2,03:00:00,-33.8522083,19.4468433,385
2012/10/2,06:00:00,-33.8543500,19.4445617,443
2012/10/2,09:00:00,-33.8572183,19.4431967,501
2012/10/2,12:00:00,-33.8573667,19.4431833,498
2012/10/2,15:00:00,-33.8573700,19.4433333,513
2012/10/2,18:00:00,-33.8573600,19.4433167,503
2012/10/2,21:00:00,-33.8573400,19.4432883,499
2012/10/3,00:00:00,-33.8573450,19.4432800,505
2012/10/3,03:00:00,-33.8583633,19.4425283,120
2012/10/3,06:00:00,-33.8472750,19.4494167,346
2012/10/3,09:00:00,-33.8472467,19.4494033,346
2012/10/3,12:00:00,-33.8472433,19.4493850,344
2012/10/3,15:00:00,-33.8472617,19.4494100,348
2012/10/3,18:00:00,-33.8473083,19.4494267,344
2012/10/3,21:00:00,-33.8301317,19.4214900,189
2012/10/4,00:00:00,-33.8262733,19.4158283,220
2012/10/4,03:00:00,-33.8246467,19.4141150,320
2012/10/4,06:00:00,-33.8246717,19.4141200,318
2012/10/4,09:00:00,-33.8266617,19.4106850,367
2012/10/4,12:00:00,-33.8266067,19.4108950,375
2012/10/4,15:00:00,-33.8266867,19.4107250,359
2012/10/4,18:00:00,-33.8264133,19.4100583,347
2012/10/4,21:00:00,-33.8212717,19.4017500,191
2012/10/5,00:00:00,-33.8213900,19.4016917,213
2012/10/5,03:00:00,-33.8212467,19.4018067,213
2012/10/5,06:00:00,-33.8212300,19.4017433,218
2012/10/5,09:00:00,-33.8213017,19.4016150,223
2012/10/5,12:00:00,-33.8212183,19.4017033,213
2012/10/5,15:00:00,-33.8210750,19.4016617,220
2012/10/5,18:00:00,-33.8211483,19.4015933,224
2012/10/5,21:00:00,-33.8213217,19.4017183,207
