LMT Date,LMT Time,Latitude,Longitude,Elevation
2012/9/27,6:01:24,-33.8733350,19.3501983,486.15
2012/9/27,9:01:24,-33.8705468,19.3491732,491.17
2012/9/27,12:01:52,-33.8698756,19.3488613,471.11
2012/9/27,15:02:11,-33.8697233,19.3494268,472.96
2012/9/27,18:02:11,-33.8697199,19.3473862,353.29
2012/9/27,21:01:25,-33.8648437,19.3451254,504.27
2012/9/28,6:01:47,-33.8647623,19.3450805,501.56
2012/9/28,9:01:55,-33.8584301,19.3427463,774.89
2012/9/28,12:00:47,-33.8424296,19.3327749,1089.34
2012/9/28,15:00:54,-33.8428762,19.3326227,1087.26
2012/9/28,18:00:53,-33.8460408,19.3121168,1149.06
2012/9/28,21:00:43,-33.8436457,19.3047332,949.19
2012/9/29,0:00:54,-33.8430788,19.2789215,955
2012/9/29,3:01:41,-33.8494971,19.2654797,1047.71
2012/9/29,6:00:49,-33.8522866,19.2479571,624.05
2012/9/29,9:00:41,-33.8502219,19.2387782,638.78
2012/9/29,12:01:52,-33.8524123,19.2322150,631.98
2012/9/29,15:00:55,-33.8588604,19.2205974,637.33
2012/9/29,18:00:52,-33.8661663,19.2095236,1224.18
2012/9/29,21:01:15,-33.8719889,19.2160076,667.32
2012/9/30,0:02:09,-33.8720435,19.2160662,667.28
2012/9/30,3:00:26,-33.8755299,19.2193540,900.31
2012/9/30,6:01:05,-33.8812434,19.2216798,951.93
2012/9/30,9:00:24,-33.8882255,19.2333810,1050.54
2012/9/30,12:00:56,-33.8871765,19.2337448,1042.66
2012/9/30,15:00:54,-33.8872857,19.2334264,1028.21
2012/9/30,18:00:50,-33.8896509,19.2334371,1091.31
2012/9/30,21:00:24,-33.9080463,19.2570324,745.53
2012/10/1,0:00:43,-33.9303013,19.2558635,699.48
2012/10/1,3:00:36,-33.9454619,19.2794809,682.81
2012/10/1,6:00:47,-33.9460420,19.2805090,712.57
2012/10/1,9:00:48,-33.9460981,19.2806886,703.33
2012/10/1,12:00:52,-33.9464730,19.2823245,673.78
2012/10/1,15:00:50,-33.9468600,19.2827180,599.25
2012/10/1,18:00:48,-33.9516918,19.2789047,616.03
2012/10/1,21:00:42,-33.9609624,19.2879831,599.87
2012/10/2,0:00:53,-33.9610489,19.2875619,506.87
2012/10/2,3:01:45,-33.9602616,19.2879305,505.86
2012/10/2,6:01:17,-33.9604808,19.2875956,544.94
2012/10/2,9:00:41,-33.9602005,19.2870626,569.63
2012/10/2,12:01:54,-33.9603383,19.2871734,570.2
2012/10/2,15:00:53,-33.9594329,19.2875267,572.54
2012/10/2,18:02:18,-33.9603631,19.2871979,567.9
2012/10/2,21:02:10,-33.9611807,19.2873051,569.29
2012/10/3,3:02:56,-33.9602040,19.2876957,569.04
2012/10/3,6:00:53,-33.9607132,19.2877089,533.51
2012/10/3,9:00:44,-33.9604538,19.2873750,554.76
2012/10/3,12:00:43,-33.9605832,19.2874388,547.76
2012/10/3,15:00:50,-33.9606100,19.2873796,557.67
2012/10/3,18:01:24,-33.9606468,19.2874884,565.93
2012/10/3,21:00:54,-33.9604202,19.2875154,551.34
