LMT Date,LMT Time,Latitude,Longitude
2013/7/27,12:00:00,-33.6670767,19.2292450
2013/7/27,18:00:00,-33.6671033,19.2291017
2013/7/27,21:00:00,-33.6670800,19.2291800
2013/7/28,00:00:00,-33.6670700,19.2291517
2013/7/28,03:00:00,-33.6671283,19.2291683
2013/7/28,06:00:00,-33.6670817,19.2291967
2013/7/28,09:00:00,-33.6671900,19.2289983
2013/7/28,12:00:00,-33.6670433,19.2291767
2013/7/28,15:00:00,-33.6668383,19.2284567
2013/7/28,18:00:00,-33.6666233,19.2266417
2013/7/28,21:00:00,-33.6653050,19.2155367
2013/7/29,00:00:00,-33.6633917,19.2147783
2013/7/29,03:00:00,-33.6633683,19.2147467
2013/7/29,06:00:00,-33.6633450,19.2148250
2013/7/29,09:00:00,-33.6635917,19.2138800
2013/7/29,12:00:00,-33.6639000,19.2131133
2013/7/29,15:00:00,-33.6614700,19.2056600
2013/7/29,18:00:00,-33.6572850,19.2064283
2013/7/29,21:00:00,-33.6559117,19.2005817
2013/7/30,00:00:00,-33.6558833,19.2005517
2013/7/30,03:00:00,-33.6559733,19.2004267
2013/7/30,06:00:00,-33.6559350,19.2005400
2013/7/30,09:00:00,-33.6580033,19.1988450
2013/7/30,12:00:00,-33.6580000,19.1989533
2013/7/30,15:00:00,-33.6569300,19.1989700
2013/7/30,18:00:00,-33.6569300,19.1974900
2013/7/30,21:00:00,-33.6568683,19.1947200
2013/7/31,00:00:00,-33.6569017,19.1973917
2013/7/31,06:00:00,-33.6568933,19.1964600
2013/7/31,09:00:00,-33.6569017,19.1963917
2013/7/31,12:00:00,-33.6568267,19.1963000
2013/7/31,15:00:00,-33.6569233,19.1963350
2013/7/31,18:00:00,-33.6568050,19.1974400
2013/7/31,21:00:00,-33.6559117,19.2005733
2013/8/1,00:00:00,-33.6558067,19.2003933
2013/8/1,03:00:00,-33.6559183,19.2005767
2013/8/1,06:00:00,-33.6578417,19.1991733
2013/8/1,09:00:00,-33.6578033,19.1991100
2013/8/1,12:00:00,-33.6578333,19.1991917
2013/8/1,15:00:00,-33.6579800,19.1991350
2013/8/1,18:00:00,-33.6568400,19.1974383
2013/8/1,21:00:00,-33.6515900,19.1968600
2013/8/2,00:00:00,-33.6558850,19.2005700
2013/8/2,03:00:00,-33.6439083,19.1949650
2013/8/2,06:00:00,-33.6436133,19.1957800
2013/8/2,09:00:00,-33.6431867,19.1958900
2013/8/2,15:00:00,-33.6432283,19.1959767
2013/8/2,18:00:00,-33.6428117,19.1955983
2013/8/2,21:00:00,-33.6322317,19.1979467
2013/8/3,00:00:00,-33.6353217,19.2286700
2013/8/3,03:00:00,-33.6315583,19.2378567
2013/8/3,06:00:00,-33.6351617,19.2420950
2013/8/3,09:00:00,-33.6329867,19.2484850
2013/8/3,12:00:00,-33.6327800,19.2485283
2013/8/3,15:00:00,-33.6328500,19.2485117
2013/8/3,18:00:00,-33.6268083,19.2535200
2013/8/3,21:00:00,-33.6028733,19.2470500
2013/8/4,00:00:00,-33.5962017,19.2413450
2013/8/4,03:00:00,-33.5962433,19.2411833
2013/8/4,06:00:00,-33.5967000,19.2396733
2013/8/4,09:00:00,-33.5993367,19.2365667
2013/8/4,12:00:00,-33.5992983,19.2366067
2013/8/4,15:00:00,-33.5992783,19.2365683
2013/8/4,18:00:00,-33.5992233,19.2365950
2013/8/4,21:00:00,-33.5862733,19.2514083
2013/8/5,00:00:00,-33.5884183,19.2504100
2013/8/5,03:00:00,-33.5627533,19.2140150
2013/8/5,06:00:00,-33.5527067,19.2058117
2013/8/5,09:00:00,-33.5524100,19.2059217
2013/8/5,12:00:00,-33.5526383,19.2059267
2013/8/5,15:00:00,-33.5526567,19.2059167
2013/8/5,18:00:00,-33.5525850,19.2060000
2013/8/5,21:00:00,-33.5417167,19.1941133
2013/8/6,00:00:00,-33.5301833,19.1893117
2013/8/6,03:00:00,-33.5266983,19.1887567
2013/8/7,06:00:00,-33.4963017,19.1804417
2013/8/7,09:00:00,-33.4949900,19.1793200
2013/8/7,12:00:00,-33.4949883,19.1792383
2013/8/7,15:00:00,-33.4947633,19.1798800
2013/8/7,21:00:00,-33.4902417,19.1787483
2013/8/8,00:00:00,-33.4903067,19.1787267
2013/8/8,06:00:00,-33.4924850,19.1789633
2013/8/8,09:00:00,-33.4817367,19.1746800
2013/8/8,12:00:00,-33.4790067,19.1719050
2013/8/8,18:00:00,-33.4779083,19.1727517
2013/8/8,21:00:00,-33.4774083,19.1745833
2013/8/9,00:00:00,-33.4770500,19.1725517
2013/8/9,03:00:00,-33.4771333,19.1724167
2013/8/9,06:00:00,-33.4770950,19.1724817
2013/8/9,09:00:00,-33.4777700,19.1729533
2013/8/9,12:00:00,-33.4777833,19.1729617
2013/8/9,15:00:00,-33.4777783,19.1730167
2013/8/9,18:00:00,-33.4837217,19.1758783
2013/8/9,21:00:00,-33.4791350,19.2101583
2013/8/10,00:00:00,-33.4710667,19.2456350
2013/8/10,03:00:00,-33.4691783,19.2520183
2013/8/10,06:00:00,-33.4691917,19.2519783
2013/8/10,09:00:00,-33.4734283,19.2500700
2013/8/10,12:00:00,-33.4733633,19.2500667
2013/8/10,15:00:00,-33.4733800,19.2501200
2013/8/10,18:00:00,-33.4741000,19.2574517
2013/8/10,21:00:00,-33.4702733,19.2540150
2013/8/11,00:00:00,-33.4745367,19.2507050
2013/8/11,03:00:00,-33.4746450,19.2505983
2013/8/11,06:00:00,-33.4746700,19.2506383
2013/8/11,09:00:00,-33.4840000,19.2493550
2013/8/11,12:00:00,-33.4817350,19.2452400
2013/8/11,15:00:00,-33.4737333,19.2437333
2013/8/11,18:00:00,-33.4682900,19.2427367
2013/8/11,21:00:00,-33.4638483,19.2321517
2013/8/12,00:00:00,-33.4533817,19.2381150
2013/8/12,03:00:00,-33.4533050,19.2380333
2013/8/12,06:00:00,-33.4533133,19.2381750
2013/8/12,09:00:00,-33.4592600,19.2434267
2013/8/12,12:00:00,-33.4607367,19.2373033
2013/8/12,15:00:00,-33.4599183,19.2368800
