LMT Date,LMT Time,Latitude,Longitude,Elevation,,,
2013/5/21,09:33:00,-34.1343317,19.0872783,559,,,
2013/5/21,12:00:00,-34.1305450,19.0823383,518,,,
2013/5/21,15:00:00,-34.1285300,19.0832683,558,,,
2013/5/21,21:00:00,-34.1284967,19.0832683,535,,,
2013/5/22,00:00:00,-34.1284050,19.0833083,546,,,
2013/5/22,03:00:00,-34.1281467,19.0831800,535,,,
2013/5/22,06:00:00,-34.1283700,19.0831950,557,,,
2013/5/23,00:00:00,-34.1208217,19.0893000,,,,
2013/5/23,03:00:00,-34.1269617,19.0861600,677,,,
2013/5/23,06:00:00,-34.1267583,19.0859750,664,,,
2013/5/23,09:00:00,-34.1274933,19.0865267,698,,,
2013/5/23,12:00:00,-34.1271900,19.0868850,715,,,
2013/5/23,15:00:00,-34.1271067,19.0872767,742,,,
2013/5/23,18:00:00,-34.1265183,19.0880850,813,,,
2013/5/23,21:00:00,-34.1248267,19.0900600,919,,,
2013/5/24,00:00:00,-34.1246383,19.0891117,830,,,
2013/5/24,03:00:00,-34.1252050,19.0883583,773,,,
2013/5/24,06:00:00,-34.1253500,19.0886333,753,,,
2013/5/24,12:00:00,-34.1242500,19.0899500,847,,,
2013/5/24,15:00:00,-34.1234817,19.0931317,960,,,
2013/5/24,18:00:00,-34.1213717,19.1015467,963,,,
2013/5/24,21:00:00,-34.1167033,19.1126400,955,,,
2013/5/25,00:00:00,-34.1167250,19.1127033,948,,,
2013/5/25,03:00:00,-34.1170350,19.1160950,894,,,
2013/5/25,06:00:00,-34.1170833,19.1388167,760,,,
2013/5/25,09:00:00,-34.1171533,19.1388533,735,,,
2013/5/25,12:00:00,-34.1172850,19.1390650,756,,,
2013/5/25,15:00:00,-34.1180550,19.1406700,755,,,
2013/5/25,18:00:00,-34.1190833,19.1431350,709,,,
2013/5/26,00:00:00,-34.1340017,19.1600917,712,,,
2013/5/26,03:00:00,-34.1288000,19.1813300,451,,,
2013/5/26,06:00:00,-34.1309367,19.1851200,459,,,
2013/5/26,09:00:00,-34.1308617,19.1848283,411,,,
2013/5/26,12:00:00,-34.1310183,19.1854167,474,,,
2013/5/26,15:00:00,-34.1288833,19.1863750,471,,,
2013/5/26,18:00:00,-34.1304567,19.1937183,476,,,
2013/5/26,21:00:00,-34.1200733,19.1982367,315,,,
2013/5/27,00:00:00,-34.1250417,19.2156783,281,,,
2013/5/27,03:00:00,-34.1281983,19.2168200,240,,,
2013/5/27,06:00:00,-34.1280650,19.2159517,284,,,
2013/5/27,09:00:00,-34.1280900,19.2137817,297,,,
2013/5/27,12:00:00,-34.1281333,19.2137283,285,,,
2013/5/27,15:00:00,-34.1280883,19.2137817,293,,,
2013/5/27,18:00:00,-34.1277750,19.2171017,241,,,
2013/5/27,21:00:00,-34.1280733,19.2159483,259,,,
2013/5/28,03:00:00,-34.1280300,19.2159450,255,,,
2013/5/28,06:00:00,-34.1281517,19.2165867,256,,,
2013/5/28,09:00:00,-34.1290083,19.2125917,329,,,
2013/5/28,12:00:00,-34.1290683,19.2125817,317,,,
2013/5/28,15:00:00,-34.1289800,19.2126367,333,,,
2013/5/28,18:00:00,-34.1286183,19.2133200,278,,,
2013/5/28,21:00:00,-34.1281950,19.2157217,268,,,
2013/5/29,00:00:00,-34.1287450,19.2155000,289,,,
2013/5/29,03:00:00,-34.1281333,19.2168083,240,,,
2013/5/29,06:00:00,-34.1281367,19.2136967,289,,,
2013/5/29,09:00:00,-34.1317800,19.1974167,475,,,
2013/5/29,12:00:00,-34.1318050,19.1974367,473,,,
2013/5/29,15:00:00,-34.1317433,19.1974500,482,,,
2013/5/29,18:00:00,-34.1321783,19.1992183,459,,,
2013/5/29,21:00:00,-34.1277583,19.2170600,250,,,
2013/5/30,00:00:00,-34.1277033,19.2171267,250,,,
2013/5/30,03:00:00,-34.1277683,19.2170983,237,,,
2013/5/30,06:00:00,-34.1276333,19.2170083,241,,,
2013/5/30,09:00:00,-34.1274150,19.2136617,246,,,
2013/5/30,12:00:00,-34.1281483,19.2138317,313,,,
2013/5/30,15:00:00,-34.1281050,19.2137883,293,,,
2013/5/30,18:00:00,-34.1276883,19.2170733,237,,,
2013/5/30,21:00:00,-34.1276950,19.2170450,245,,,
2013/5/31,03:00:00,-34.1279600,19.2158833,253,,,
2013/5/31,06:00:00,-34.1281167,19.2137733,296,,,
2013/5/31,09:00:00,-34.1290000,19.2126033,327,,,
2013/5/31,12:00:00,-34.1290650,19.2125100,311,,,
2013/5/31,15:00:00,-34.1290367,19.2127000,334,,,
2013/5/31,18:00:00,-34.1290733,19.2125683,318,,,
2013/5/31,21:00:00,-34.1432233,19.1987450,339,,,
2013/6/1,00:00:00,-34.1498683,19.2008300,363,,,
2013/6/1,03:00:00,-34.1650117,19.1979550,426,,,
2013/6/1,06:00:00,-34.1721283,19.1965933,458,,,
2013/6/1,15:00:00,-34.1931617,19.1880567,,,,
2013/6/1,18:00:00,-34.1853700,19.1956717,118,,,
2013/6/1,21:00:00,-34.1947767,19.2103400,213,,,
2013/6/2,03:00:00,-34.2123967,19.2132050,10,,,
2013/6/3,00:00:00,-34.2115483,19.1919167,121,,,
2013/6/3,03:00:00,-34.2099233,19.1898950,173,,,
2013/6/4,06:00:00,-34.2090683,19.1760283,266,,,
2013/6/4,09:00:00,-34.2166700,19.1480933,470,,,
2013/6/4,15:00:00,-34.2163483,19.1476633,466,,,
2013/6/4,18:00:00,-34.2162533,19.1453683,444,,,
2013/6/5,00:00:00,-34.2378683,19.1631750,495,,,
2013/6/5,03:00:00,-34.2378700,19.1631067,475,,,
2013/6/5,06:00:00,-34.2379083,19.1631983,497,,,
2013/6/5,09:00:00,-34.2472417,19.1666033,221,,,
2013/6/5,12:00:00,-34.2452617,19.1626950,251,,,
2013/6/5,18:00:00,-34.2455083,19.1723350,207,,,
2013/6/5,21:00:00,-34.2289567,19.1745233,253,,,
2013/6/6,00:00:00,-34.2191750,19.1605167,453,,,
2013/6/6,03:00:00,-34.2079017,19.1752467,176,,,
2013/6/6,06:00:00,-34.2032867,19.1836017,405,,,
2013/6/6,09:00:00,-34.2029067,19.1835317,388,,,
2013/6/6,12:00:00,-34.2017750,19.1847717,498,,,
2013/6/6,15:00:00,-34.2015150,19.1849283,483,,,
2013/6/6,18:00:00,-34.2043600,19.1907017,460,,,
2013/6/6,21:00:00,-34.1984333,19.2233600,58,,,
2013/6/7,00:00:00,-34.1978200,19.2299633,113,,,
2013/6/7,03:00:00,-34.1975300,19.2299417,112,,,
2013/6/7,06:00:00,-34.1927067,19.2134367,179,,,
2013/6/7,09:00:00,-34.1919533,19.2116167,209,,,
2013/6/7,12:00:00,-34.1927933,19.2109117,213,,,
2013/6/7,15:00:00,-34.1931917,19.2106417,224,,,
2013/6/7,18:00:00,-34.1931783,19.2106050,208,,,
2013/6/7,21:00:00,-34.1984533,19.2388717,204,,,
2013/6/8,00:00:00,-34.1717100,19.2559883,230,,,
2013/6/8,03:00:00,-34.1615400,19.2618483,205,,,
2013/6/8,06:00:00,-34.1607783,19.2637733,177,,,
2013/6/8,09:00:00,-34.1621150,19.2688717,191,,,
2013/6/8,12:00:00,-34.1622083,19.2687967,192,,,
2013/6/8,15:00:00,-34.1622600,19.2687383,186,,,
2013/6/8,18:00:00,-34.1622483,19.2686917,196,,,
2013/6/8,21:00:00,-34.1636633,19.2584467,194,,,
2013/6/9,00:00:00,-34.1610183,19.2611883,197,,,
2013/6/9,03:00:00,-34.1574117,19.2574450,146,,,
2013/6/9,06:00:00,-34.1422633,19.2569283,123,,,
2013/6/9,09:00:00,-34.1408717,19.2604517,179,,,
2013/6/9,12:00:00,-34.1408433,19.2604717,167,,,
2013/6/9,15:00:00,-34.1402683,19.2633167,214,,,
2013/6/9,18:00:00,-34.1403500,19.2641833,237,,,
2013/6/9,21:00:00,-34.1401950,19.2643617,243,,,
2013/6/10,00:00:00,-34.1396500,19.2630817,210,,,
2013/6/10,03:00:00,-34.1399750,19.2632400,214,,,
2013/6/10,06:00:00,-34.1403083,19.2642350,243,,,
2013/6/10,09:00:00,-34.1403483,19.2632967,221,,,
2013/6/10,12:00:00,-34.1403967,19.2632000,183,,,
2013/6/10,15:00:00,-34.1401317,19.2629150,210,,,
2013/6/10,18:00:00,-34.1403433,19.2630433,208,,,
2013/6/10,21:00:00,-34.1402700,19.2630417,210,,,
2013/6/11,00:00:00,-34.1402517,19.2630567,219,,,
2013/6/11,03:00:00,-34.1402450,19.2629817,209,,,
2013/6/11,06:00:00,-34.1402300,19.2630183,206,,,
2013/6/11,09:00:00,-34.1402583,19.2629683,214,,,
2013/6/11,12:00:00,-34.1403683,19.2632567,208,,,
2013/6/11,15:00:00,-34.1404033,19.2629700,209,,,
2013/6/11,18:00:00,-34.1402983,19.2630267,209,,,
2013/6/11,21:00:00,-34.1402900,19.2628900,196,,,
2013/6/12,00:00:00,-34.1402617,19.2630300,209,,,
2013/6/12,03:00:00,-34.1402333,19.2629867,210,,,
2013/6/12,06:00:00,-34.1402550,19.2630000,206,,,
2013/6/12,09:00:00,-34.1402417,19.2630000,215,,,
2013/6/12,12:00:00,-34.1404817,19.2629850,206,,,
2013/6/12,15:00:00,-34.1402433,19.2630967,218,,,
2013/6/12,18:00:00,-34.1403833,19.2632850,215,,,
2013/6/12,21:00:00,-34.1402483,19.2630050,211,,,
2013/6/13,00:00:00,-34.1402967,19.2630183,215,,,
2013/6/13,06:00:00,-34.1402733,19.2630167,210,,,
2013/6/13,09:00:00,-34.1402383,19.2630100,219,,,
2013/6/13,12:00:00,-34.1404167,19.2629600,209,,,
2013/6/13,15:00:00,-34.1404033,19.2632350,212,,,
2013/6/13,18:00:00,-34.1404200,19.2632867,209,,,
2013/6/13,21:00:00,-34.1490433,19.2336950,120,,,
2013/6/14,00:00:00,-34.1561017,19.2206450,286,,,
2013/6/14,03:00:00,-34.1637900,19.1986233,421,,,
2013/6/14,06:00:00,-34.1718533,19.1653433,644,,,
2013/6/14,09:00:00,-34.1597100,19.1395367,632,,,
2013/6/14,12:00:00,-34.1597300,19.1388450,622,,,
2013/6/14,15:00:00,-34.1498033,19.1228917,680,,,
2013/6/14,21:00:00,-34.1457350,19.1205033,,,,
